"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL"
"121","musical","Skin-Melanoma",2.61193882089979,2.62142608684676,0.278362925608984,0.907425685425685,0.888888888888889,0.089494216096998,0.22522784576688,0.190829645755628,0.15564630532088,0.9625,1,0.0954455262694302,0.874666666666667,0.833333333333333,0.134203390210096,0.862871897043454,0.185696066767192,0.111490404793447
"122","deconstruct_0.10","Eso-AdenoCA",2.60619398998205,2.60925286887946,0.314265708066329,0.836670274170274,0.857142857142857,0.164739206857114,0.14163934335128,0.111963963917547,0.113788221451032,0.763666666666667,0.75,0.232711774350669,0.984166666666667,1,0.0634481946210717,0.913776443508477,0.331224504301859,0.211562003587026
"123","fitms_0.010","Skin-Melanoma",2.6044262970206,2.65998179879344,0.33007168804353,0.860225108225108,0.888888888888889,0.162397012156432,0.166073702979401,0.146939566586689,0.135454920801117,0.816333333333333,0.8,0.208503028531593,0.954166666666667,1,0.0983413225083046,0.902139617381802,NA,NA
"124","deconstruct_0.00","Breast-AdenoCA",2.59555023545434,2.62213628045166,0.248155357318448,0.886353923853924,0.888888888888889,0.0942544705939044,0.207616431212324,0.16692059959841,0.15714325018571,0.955,1,0.105927044330231,0.848166666666667,0.833333333333333,0.145148710065313,0.881110194753793,0.188156982337094,0.116355011833354
"125","fitms_0.200","Lung-AdenoCA",2.59170174807206,2.63032658098369,0.322490492186476,0.819597402597403,0.857142857142857,0.174454796685244,0.117512537642225,0.0928017134288948,0.0900775990446909,0.766714285714286,0.75,0.232569840791694,0.9425,1,0.133320180327675,0.930327030562278,0.163044349744765,0.101771785812262
"126","fitms_0.100","Lung-AdenoCA",2.59170174802866,2.63032658098369,0.32249049214301,0.819597402597403,0.857142857142857,0.174454796685244,0.117512537685624,0.0928017134288953,0.0900775990305817,0.766714285714286,0.75,0.232569840791694,0.9425,1,0.133320180327675,0.93032703050649,0.163044349758467,0.101771785812276
"127","musical","Lung-AdenoCA",2.59106359451725,2.68985743804728,0.364102538706024,0.873555555555556,0.888888888888889,0.143146050779426,0.180698310244657,0.140272817767451,0.144844713717761,0.904047619047619,1,0.160445814633276,0.867714285714286,1,0.169118338424573,0.883654874444388,0.17288267857027,0.0595779037322737
"128","fitms_0.010","Lung-AdenoCA",2.58849373835709,2.63032658098369,0.329750811718764,0.817811688311688,0.857142857142857,0.176080738635585,0.117387214023864,0.0921564387160966,0.0904342694714844,0.764214285714286,0.75,0.234090039152223,0.941666666666667,1,0.134787940859419,0.930433615945176,0.163125742919261,0.101771984348823
"129","fitms_0.050","Lung-AdenoCA",2.58849373835683,2.63032658098369,0.329750811720286,0.817811688311688,0.857142857142857,0.176080738635585,0.117387214024121,0.0921564387160999,0.0904342694778738,0.764214285714286,0.75,0.234090039152223,0.941666666666667,1,0.134787940859419,0.930433615937133,0.163125742922784,0.101771984348823
"130","fitms_0.030","Lung-AdenoCA",2.58849373832406,2.63032658098369,0.329750811690393,0.817811688311688,0.857142857142857,0.176080738635585,0.117387214056893,0.0921564387160995,0.0904342694765242,0.764214285714286,0.75,0.234090039152223,0.941666666666667,1,0.134787940859419,0.930433615932028,0.163125742933523,0.101771984348824
