Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.39,0.0,0.0,0.0,0.0,5128.347796374054,422.27199823061187,0.0,0.0,0.0,515.7072538130689,0.0,7822.384192971728
Lung-AdenoCA::S.40,561.0848260505813,481.8462721877436,0.0,0.0,34870.32582224152,0.0,1566.916420313432,0.0,0.0,0.0,0.0,4709.213317732066
Lung-AdenoCA::S.41,0.0,362.4828828717606,0.0,8595.580158670999,30971.868158367142,0.0,0.0,0.0,0.0,1551.146190257101,0.0,0.0
Lung-AdenoCA::S.42,452.02349141529544,3590.2501909501484,0.0,0.0,7778.894024835199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.43,346.3048892724045,0.0,0.0,0.0,10645.361747405623,0.0,0.0,823.8361084823331,0.0,1441.3836242672114,0.0,4761.133455327326
Lung-AdenoCA::S.44,0.0,6253.342150358404,0.0,38640.12962453853,24952.521341897722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.45,1130.984705945535,453.98598455674403,3503.4666291029744,0.0,5741.6371232399,861.5194608184722,669.9757007583046,767.5891872336776,2361.99800401571,0.0,0.0,5494.538783411563
Lung-AdenoCA::S.46,0.0,972.4858622750321,0.0,0.0,4227.2983041621565,0.0,12364.390623772906,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.47,481.2332641794768,3090.889485730915,0.0,30108.96358456626,3633.6360031942927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.48,0.0,12926.557272316808,4455.062556282862,0.0,6859.392370165844,0.0,448.0283808772843,0.0,0.0,0.0,0.0,23514.880656248275
Lung-AdenoCA::S.49,0.0,4336.340266842594,0.0,0.0,18672.105169558487,0.0,4715.830885024697,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.50,0.0,396.5689208051653,0.0,0.0,0.0,0.0,4641.8681270985535,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.51,500.49975604812545,637.8229030285682,0.0,0.0,7202.495726641979,0.0,438.20141965192875,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.52,0.0,5903.775424048122,0.0,0.0,11549.075621169057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
