"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"111","deconstruct_0.00","Kidney-RCC",2.51976137452901,2.69820560051224,0.63354800780812,0.87631746031746,1,0.18600145531015,0.267405292137652,0.209092645343789,0.327276625642915,0.869166666666667,1,0.219124559076732,0.918,1,0.19334726525908
"112","fitms_0.060","Eso-AdenoCA",2.51532509390752,2.53504483540825,0.233263623644565,0.850492895992896,0.857142857142857,0.113067494086514,0.232603477521047,0.222191913727824,0.0974483352989749,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"113","fitms_0.050","Eso-AdenoCA",2.51532509390322,2.53504483540825,0.233263623664427,0.850492895992896,0.857142857142857,0.113067494086514,0.232603477525355,0.222191913727844,0.0974483353023307,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"114","fitms_0.010","Eso-AdenoCA",2.51532509389912,2.53504483540825,0.233263623660423,0.850492895992896,0.857142857142857,0.113067494086514,0.232603477529447,0.222191913727851,0.0974483353039963,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"115","fitms_0.001","Eso-AdenoCA",2.51532509389853,2.53504483540825,0.233263623661321,0.850492895992896,0.857142857142857,0.113067494086514,0.23260347753004,0.222191913727824,0.0974483353043351,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"116","fitms_0.005","Eso-AdenoCA",2.51532509389557,2.53504483540825,0.233263623668345,0.850492895992896,0.857142857142857,0.113067494086514,0.232603477533002,0.222191913727823,0.0974483353062059,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"117","fitms_0.030","Eso-AdenoCA",2.51532509388616,2.53504483540825,0.233263623684993,0.850492895992896,0.857142857142857,0.113067494086514,0.232603477542414,0.222191913727823,0.0974483353117517,0.768357142857143,0.8,0.165475124658743,0.979571428571429,1,0.0651173471678144
"118","yapsa_0.03","Liver-HCC",2.511901327253,2.6213095993213,0.422123478497072,0.863952380952381,1,0.166722666329075,0.282265339413666,0.223292012073439,0.224514634959406,0.99,1,0.0703526470681448,0.804166666666667,1,0.231914578008164
"119","yapsa_0.06","Breast-AdenoCA",2.51054344768389,2.53373216582634,0.288751317833816,0.891968253968254,0.888888888888889,0.112176474763828,0.30445655231611,0.275820038332101,0.14054755338122,0.834,0.8,0.162315595101084,0.981,1,0.0712254447024655
"120","yapsa_0.00","Skin-Melanoma",2.50871429275925,2.45592103934534,0.403265729004713,0.806666666666667,0.666666666666667,0.165348321249619,0.201285707240746,0.10238408032467,0.220126044353006,1,1,0,0.71,0.5,0.248022481874429
"121","mutsig","Skin-Melanoma",2.5087142770168,2.45592104805182,0.403265834474374,0.806666666666667,0.666666666666667,0.165348321249619,0.201285722983197,0.102383839507135,0.22012609588895,1,1,0,0.71,0.5,0.248022481874429
"122","deconstruct_0.03","Kidney-RCC",2.5058590984919,2.65891303827441,0.636420718284799,0.866833333333333,1,0.190186243664311,0.268307568174768,0.2073578252943,0.327423580257793,0.85,1,0.227525112389109,0.924166666666667,1,0.190653889873524
"123","yapsa_0.06","Ovary-AdenoCA",2.49900270396908,2.64980478596516,0.442219711863295,0.877134920634921,1,0.160203150002542,0.299997296030916,0.228485237100127,0.231502048067041,0.917833333333333,1,0.166317057562848,0.881166666666667,1,0.201309615188217
"124","mp","Lung-AdenoCA",2.49118612008023,2.70347473879505,0.487335474573788,0.856,1,0.176566581140819,0.292147213253104,0.185614215227819,0.287446663808845,0.87,1,0.213962666011361,0.913333333333333,1,0.199929841791085
"125","yapsa_0.10","Lung-AdenoCA",2.49004559275268,2.74953618015715,0.504479099880341,0.854666666666667,1,0.182175406649412,0.293287740580654,0.18752315337768,0.290071424702498,0.888333333333333,1,0.203855927206542,0.895,1,0.218921189228347
"126","deconstruct_0.06","Kidney-RCC",2.48445967540575,2.59472391451097,0.631519819735468,0.853309523809524,0.857142857142857,0.189242909478476,0.269706991260918,0.208215928441755,0.32736846627585,0.82,1,0.232321036441094,0.934166666666667,1,0.185507085546291
"127","msa_thresholdx10","Lung-AdenoCA",2.48376830242985,2.7490618533039,0.508685849402437,0.852190476190476,1,0.182996379568815,0.296065030903482,0.192122073161474,0.289351241152188,0.913333333333333,1,0.18874028616831,0.8665,1,0.23243568314987
"128","musical","Lung-AdenoCA",2.47882483613925,2.57170471809093,0.465280726469239,0.8405,1,0.189351989994535,0.28850849719408,0.19323236040102,0.282979015018088,0.968333333333333,1,0.117720111668984,0.799,1,0.262315297640039
"129","mp","Stomach-AdenoCA",2.47788293928077,2.53784042048362,0.403735578171466,0.86461038961039,0.857142857142857,0.147127217653159,0.292783727385893,0.241329692514128,0.194618938846919,0.841166666666667,1,0.198400661972575,0.9295,1,0.141140436784158
"130","pasa","Eso-AdenoCA",2.47261199067528,2.48835005574136,0.255050065624363,0.84921250971251,0.833333333333333,0.0995754224897923,0.27342372361043,0.257500750075008,0.125026587063149,0.755035714285714,0.732142857142857,0.147808209323426,0.991,1,0.0461430460183044
"131","musical","Eso-AdenoCA",2.46909119750217,2.47392942575814,0.241190224040167,0.896787296037296,0.909090909090909,0.0890669357680771,0.343603246942278,0.309134176941262,0.134539994208873,0.911583333333333,1,0.118542562010418,0.901111111111111,1,0.123776874680351
"132","yapsa_0.03","Ovary-AdenoCA",2.46183264977904,2.56580201349843,0.449528844637079,0.852650793650794,0.873015873015873,0.169383335662745,0.307834016887627,0.228798127276006,0.23647875919973,0.942333333333333,1,0.14296876351171,0.827333333333333,1,0.231213555383419
"133","sigpro","Kidney-RCC",2.4566091480878,2.4845209951593,0.417790579391835,0.822190476190476,0.8,0.16684758956269,0.274224185245538,0.198488045007032,0.23221366659244,0.730833333333333,0.666666666666667,0.23565910388429,1,1,0
"134","msa_thresholdx100","Stomach-AdenoCA",2.45648424583193,2.5177114641477,0.399230893704018,0.86086075036075,0.857142857142857,0.151966000492869,0.302015754168069,0.262081430745814,0.181796639059734,0.910333333333333,1,0.155713844428815,0.848166666666667,1,0.200614865736958
"135","msa_thresholdx1000","Lung-AdenoCA",2.45086818649207,2.44041303322224,0.452067804257182,0.818666666666667,1,0.212796040569732,0.290798480174595,0.213577539384758,0.24259105352634,0.741666666666667,1,0.278660214511356,1,1,0
