Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Ovary-AdenoCA::S.4,msa_thresholdx1000,51,0.414634146341463,1,0.75,0.857142857142857,2.33536585365854,0.5,0.216785229690624,0.18394401072067,Ovary-AdenoCA
Ovary-AdenoCA::S.5,msa_thresholdx1000,3,0.0789473684210526,1,1,1,2.92105263157895,1,0.0789473684210526,0.00114716240157565,Ovary-AdenoCA
Ovary-AdenoCA::S.6,msa_thresholdx1000,30,0.247933884297521,1,0.666666666666667,0.8,2.41873278236915,0.666666666666667,0.168156941730379,0.126795983279577,Ovary-AdenoCA
Ovary-AdenoCA::S.7,msa_thresholdx1000,7,0.125,1,1,1,2.875,1,0.108620759469611,0.0996173688415359,Ovary-AdenoCA
Ovary-AdenoCA::S.8,msa_thresholdx1000,22,0.054590570719603,1,1,1,2.9454094292804,1,0.0354413321515774,0.00922042614495605,Ovary-AdenoCA
Ovary-AdenoCA::S.9,msa_thresholdx1000,43,0.184549356223176,1,1,1,2.81545064377682,1,0.117144584239967,0.0663578260827519,Ovary-AdenoCA
Ovary-AdenoCA::S.10,msa_thresholdx1000,5,0.087719298245614,1,1,1,2.91228070175439,1,0.087719298245614,0,Ovary-AdenoCA
Ovary-AdenoCA::S.11,msa_thresholdx1000,5,0.072463768115942,1,1,1,2.92753623188406,1,0.0522543663110723,1.00943080912812e-05,Ovary-AdenoCA
Ovary-AdenoCA::S.12,msa_thresholdx1000,16,0.164948453608247,1,0.5,0.666666666666667,2.33505154639175,0.333333333333333,0.0956043143865536,0.0683134462523173,Ovary-AdenoCA
Ovary-AdenoCA::S.13,msa_thresholdx1000,52,0.196969696969697,0.666666666666667,1,0.8,2.46969696969697,1,0.141222362744752,0.733756817395043,Ovary-AdenoCA
Ovary-AdenoCA::S.14,msa_thresholdx1000,59,0.479674796747967,1,0.6,0.75,2.12032520325203,0,0.263570163860932,0.454483220195969,Ovary-AdenoCA
Ovary-AdenoCA::S.15,msa_thresholdx1000,17,0.653846153846154,1,0.5,0.666666666666667,1.84615384615385,0.75,0.5,0.440572591385981,Ovary-AdenoCA
Ovary-AdenoCA::S.16,msa_thresholdx1000,25,0.342465753424658,1,0.4,0.571428571428571,2.05753424657534,0,0.185311633677653,0.322357689131737,Ovary-AdenoCA
Ovary-AdenoCA::S.17,msa_thresholdx1000,41,0.241176470588235,1,1,1,2.75882352941176,1,0.145640216507529,0.113326917835682,Ovary-AdenoCA
Ovary-AdenoCA::S.18,msa_thresholdx1000,66,0.289473684210526,1,1,1,2.71052631578947,1,0.165856757905167,0.0928392939205006,Ovary-AdenoCA
Ovary-AdenoCA::S.19,msa_thresholdx1000,537,0.557053941908714,0.666666666666667,1,0.8,2.10961272475795,1,0.513858366637954,0.0565269155405309,Ovary-AdenoCA
Ovary-AdenoCA::S.20,msa_thresholdx1000,61,0.4765625,1,0.4,0.571428571428571,1.9234375,0,0.313572378756086,0.511570661841088,Ovary-AdenoCA
Ovary-AdenoCA::S.21,msa_thresholdx1000,10,0.0793650793650794,1,1,1,2.92063492063492,1,0.0654461210415502,0.00359030099319139,Ovary-AdenoCA
Ovary-AdenoCA::S.22,msa_thresholdx1000,60,0.555555555555556,1,0.666666666666667,0.8,2.11111111111111,0.666666666666667,0.344713156833079,0.371299397431882,Ovary-AdenoCA
Ovary-AdenoCA::S.23,msa_thresholdx1000,22,0.733333333333333,1,0.666666666666667,0.8,1.93333333333333,0.666666666666667,0.429469957557504,0.771631559642728,Ovary-AdenoCA
Ovary-AdenoCA::S.24,msa_thresholdx1000,47,0.103296703296703,1,1,1,2.8967032967033,1,0.0858269195154577,9.7044097528292e-05,Ovary-AdenoCA
Ovary-AdenoCA::S.25,msa_thresholdx1000,5,0.0384615384615385,1,1,1,2.96153846153846,1,0.0255124983873492,0.000774638524004185,Ovary-AdenoCA
Ovary-AdenoCA::S.26,msa_thresholdx1000,40,0.198019801980198,1,1,1,2.8019801980198,1,0.13228108134542,0.0029350017644526,Ovary-AdenoCA
Ovary-AdenoCA::S.27,msa_thresholdx1000,95,0.206073752711497,0.8,1,0.888888888888889,2.5939262472885,1,0.0960589580281325,0.212009376627098,Ovary-AdenoCA
Ovary-AdenoCA::S.28,msa_thresholdx1000,39,0.182242990654206,1,0.5,0.666666666666667,2.31775700934579,0.333333333333333,0.100765694639476,0.100372498156832,Ovary-AdenoCA
Ovary-AdenoCA::S.29,msa_thresholdx1000,60,0.355029585798817,1,0.75,0.857142857142857,2.39497041420118,0.5,0.196962331089861,0.185277792766049,Ovary-AdenoCA
Ovary-AdenoCA::S.30,msa_thresholdx1000,61,0.303482587064677,1,1,1,2.69651741293532,1,0.192235612799618,0.0853070493883524,Ovary-AdenoCA
Ovary-AdenoCA::S.31,msa_thresholdx1000,40,0.213903743315508,0.666666666666667,1,0.8,2.45276292335116,1,0.132723782310063,0.512019941874972,Ovary-AdenoCA
Ovary-AdenoCA::S.32,msa_thresholdx1000,15,0.254237288135593,1,1,1,2.74576271186441,1,0.209649438590728,0.0279028885018632,Ovary-AdenoCA
Ovary-AdenoCA::S.33,msa_thresholdx1000,18,0.36,1,0.666666666666667,0.8,2.30666666666667,0.666666666666667,0.213541565040626,0.205418760222811,Ovary-AdenoCA
Ovary-AdenoCA::S.34,msa_thresholdx1000,22,0.666666666666667,1,0.25,0.4,1.58333333333333,0.25,0.451504982598525,0.506959988719883,Ovary-AdenoCA
