Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.83,593.0000756699438,24.464214821681097,4728.607180767773,798.5154187877058,115.57039513067541,52.57479339907884,0.0,183.38885638561868,0.0,297.00729303957814,0.0
Ovary-AdenoCA::S.84,651.8957730623686,151.89738715294132,5536.412151001037,1196.6756490749754,0.0,0.0,2303.3470066668897,455.44859427096077,0.0,3635.490715482008,114.75545557957949
Ovary-AdenoCA::S.85,488.3718619765154,209.57163793601862,2740.023706870287,617.3576593678432,71.85779048531342,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.86,632.1300214108809,0.0,3413.937616480955,0.0,373.69597011942545,0.0,0.0,343.06819998345674,0.0,7970.385854728776,0.0
Ovary-AdenoCA::S.87,527.3644143083787,0.0,6994.6833547773,2513.587354773489,213.6806440935477,652.7784844369987,0.0,597.1137915024747,0.0,0.0,0.0
Ovary-AdenoCA::S.88,633.6245915654961,0.0,4411.843480253012,1716.8573341481322,0.0,849.5046457463435,0.0,0.0,614.3255785097256,0.0,181.6663722286973
Ovary-AdenoCA::S.89,208.0277785920507,465.1348090280178,0.0,3151.8192102216726,0.0,25.52126508904994,0.0,116.17549421791499,283.66481977552013,4094.9791536006487,0.0
Ovary-AdenoCA::S.90,346.8162732712321,281.87341832640277,2864.5963678209464,1443.2974621999253,0.0,0.0,0.0,82.35935097316695,106.20389684974532,0.0,0.0
Ovary-AdenoCA::S.91,286.2138005116431,458.99538719618033,3079.72679303863,1182.7317444678392,0.0,0.0,0.0,53.691460810441804,0.0,0.0,0.0
Ovary-AdenoCA::S.92,525.0615559894376,0.0,0.0,2102.025092472195,0.0,0.0,0.0,0.0,65.81933353952716,0.0,0.0
Ovary-AdenoCA::S.93,496.5055567691,33.19418379156182,2881.0237270906096,2309.6644383184,0.0,864.7477543832308,73.2267480816565,0.0,486.5649462133916,0.0,98.26189975006083
Ovary-AdenoCA::S.94,491.8337339771355,488.3372881395073,1943.5085909472255,214.61504342239303,0.0,464.7271497290007,0.0,0.0,0.0,0.0,40.865317964091574
Ovary-AdenoCA::S.95,904.8213328068657,0.0,1539.98402548425,0.0,0.0,26.47321327265814,0.0,0.0,84.59693872605347,181.40712593178444,0.0
Ovary-AdenoCA::S.96,348.1396052700706,177.53892790218984,0.0,57.95309510869061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
